#stage,check_type,sub_category_1,sub_category_2,sub_category_3,sub_category_4,value
postroute,utilization,,,,,71.7%
postroute,std_density,,,,,41.7%
postroute,drc,total,,,,1024
postroute,drc,short,,,,256
postroute,drc,antenna,,,,512
postroute,vt_ratio,ulvt,,,,1.1%
postroute,vt_ratio,lvt,,,,8.9%
postroute,vt_ratio,svt,,,,40%
postroute,vt_ratio,hvt,,,,50%
postroute,timing,setup,reg2reg,wns,,-0.3
postroute,timing,setup,reg2reg,tns,,-3.300
postroute,timing,setup,reg2reg,vio_paths,,10024
postroute,timing,setup,in2reg,wns,,-0.3
postroute,timing,setup,in2reg,tns,,-3.300
postroute,timing,setup,in2reg,vio_paths,,10024
postroute,timing,setup,reg2out,wns,,-0.3
postroute,timing,setup,reg2out,tns,,-3.300
postroute,timing,setup,reg2out,vio_paths,,10024
postroute,timing,setup,mem2reg,wns,,-0.3
postroute,timing,setup,mem2reg,tns,,-3.300
postroute,timing,setup,mem2reg,vio_paths,,10024
postroute,timing,setup,reg2mem,wns,,-0.3
postroute,timing,setup,reg2mem,tns,,-3.300
postroute,timing,setup,reg2mem,vio_paths,,10024
postroute,timing,setup,reg2macro,wns,,-0.3
postroute,timing,setup,reg2macro,tns,,-3.300
postroute,timing,setup,reg2macro,vio_paths,,10024
postroute,timing,setup,macro2reg,wns,,-0.3
postroute,timing,setup,macro2reg,tns,,-3.300
postroute,timing,setup,macro2reg,vio_paths,,10024
postroute,timing,setup,reg2icg,wns,,-0.3
postroute,timing,setup,reg2icg,tns,,-3.300
postroute,timing,setup,reg2icg,vio_paths,,10024
postroute,timing,hold,reg2reg,wns,,-0.3
postroute,timing,hold,reg2reg,tns,,-3.300
postroute,timing,hold,reg2reg,vio_paths,,10024
postroute,timing,hold,in2reg,wns,,-0.3
postroute,timing,hold,in2reg,tns,,-3.300
postroute,timing,hold,in2reg,vio_paths,,10024
postroute,timing,hold,reg2out,wns,,-0.3
postroute,timing,hold,reg2out,tns,,-3.300
postroute,timing,hold,reg2out,vio_paths,,10024
postroute,timing,hold,mem2reg,wns,,-0.3
postroute,timing,hold,mem2reg,tns,,-3.300
postroute,timing,hold,mem2reg,vio_paths,,10024
postroute,timing,hold,reg2mem,wns,,-0.3
postroute,timing,hold,reg2mem,tns,,-3.300
postroute,timing,hold,reg2mem,vio_paths,,10024
postroute,timing,hold,reg2macro,wns,,-0.3
postroute,timing,hold,reg2macro,tns,,-3.300
postroute,timing,hold,reg2macro,vio_paths,,10024
postroute,timing,hold,macro2reg,wns,,-0.3
postroute,timing,hold,macro2reg,tns,,-3.300
postroute,timing,hold,macro2reg,vio_paths,,10024
postroute,timing,hold,reg2icg,wns,,-0.3
postroute,timing,hold,reg2icg,tns,,-3.300
postroute,timing,hold,reg2icg,vio_paths,,10024
postroute,drv,max_tran,wns,,,-0.105
postroute,drv,max_tran,vio_paths,,,-0.105
postroute,drv,max_cap,wns,,,-0.105
postroute,drv,max_cap,vio_paths,,,-0.105
postroute,drv,max_length,wns,,,-0.105
postroute,drv,max_length,vio_paths,,,-0.105
postroute,power,total_power,,,,120
postroute,power,leakage_power,,,,15
